0,1,2,3,4,5,6,7,8
106,43,160,203,91,137,60,48,152
117,42,170,205,88,125,57,54,142
124,36,159,208,93,131,68,57,124
123,44,153,211,82,127,68,52,140
147,40,170,195,86,128,43,49,142
117,40,171,192,98,139,57,54,132
119,44,157,211,94,129,66,40,140
120,44,145,223,84,122,57,56,149
119,40,154,209,89,138,58,35,158
127,35,172,200,74,136,64,48,144
143,35,135,189,82,149,59,42,166
113,45,160,198,93,148,51,47,145
114,30,189,203,85,122,66,52,139
121,44,156,211,91,139,43,33,162
134,47,175,197,96,116,51,42,142
130,33,166,221,94,115,56,44,141
136,39,153,205,77,132,57,41,160
120,35,177,202,85,138,49,53,141
146,33,161,196,89,136,54,56,129
114,42,163,215,94,141,64,33,134
130,39,150,219,102,120,61,35,144
130,34,152,230,92,133,44,40,145
113,47,169,217,96,145,57,42,114
141,31,158,210,86,132,55,35,152
135,36,149,208,82,140,46,63,141
136,36,165,206,78,141,48,46,144
123,40,174,193,82,134,53,46,155
119,52,158,207,81,139,47,54,143
106,51,159,201,92,123,68,54,146
129,41,148,204,87,138,60,44,149
154,39,142,201,97,133,53,38,143
114,43,196,192,73,136,73,50,123
140,37,163,191,82,139,62,46,140
137,32,182,202,77,138,58,57,117
122,39,164,194,106,141,55,47,132
116,38,154,220,88,137,44,38,165
120,45,153,202,90,133,62,54,141
117,40,162,203,106,145,64,31,132
121,35,168,212,90,138,52,44,140
140,37,170,214,84,117,40,53,145
136,35,153,210,98,126,54,41,147
132,44,154,202,93,145,57,48,125
121,41,151,200,101,142,54,39,151
135,31,146,207,81,127,60,46,167
135,36,148,207,89,131,65,44,145
107,39,165,214,101,131,53,57,133
128,36,172,188,89,126,69,43,149
123,42,158,193,93,139,54,48,150
136,33,182,196,84,129,54,48,138
120,41,163,188,86,147,56,48,151
122,36,171,206,84,138,57,45,141
118,33,162,226,67,131,58,42,163
131,41,146,207,82,138,59,50,146
127,41,176,199,88,135,40,44,150
139,32,167,207,83,135,51,41,145
124,40,172,199,81,129,65,55,135
134,32,180,182,91,153,55,48,125
118,39,173,231,89,119,58,37,136
139,39,129,233,92,128,56,56,128
132,35,163,204,84,136,52,37,157
96,38,192,209,80,137,59,55,134
130,44,166,195,92,130,58,38,147
123,34,174,202,100,119,65,38,145
113,39,150,211,97,141,51,50,148
140,33,167,198,97,126,50,50,139
128,38,150,201,92,153,43,47,148
147,35,191,188,71,131,51,49,137
126,40,179,200,79,123,59,45,149
124,37,160,205,93,136,56,59,130
133,44,172,198,86,128,49,40,150
122,45,159,199,95,142,50,51,137
136,34,170,190,83,145,55,37,150
142,27,163,201,76,119,71,44,157
135,35,164,191,83,130,60,50,152
